"","Network","deer_density","mouse_density","tick_density","mouse_carrying_capacity","deer_carrying_capacity","deer_attach_prob","mouse_attach_prob","max_timestep","final_total_ticks","end"
"1",1,"0.1","0.1","10","100","25","0.1","0.1",41543,148,"dieoff"
"2",1,"0.1","0.1","10","25","100","0.1","0.1",43800,1073,"dieoff"
"3",1,"0.1","0.1","10","25","25","0.1","0.1",41543,148,"dieoff"
"4",1,"0.1","0.1","10","25","25","0.1","0.25",43800,1023,"dieoff"
"5",1,"0.1","0.1","10","25","25","0.1","0.5",43799,1062,"dieoff"
"6",1,"0.1","0.1","10","25","25","0.1","0.75",43799,2052,"dieoff"
"7",1,"0.1","0.1","10","25","25","0.1","1",61320,1006,"dieoff"
"8",1,"0.1","0.1","10","25","25","0.25","0.1",60872,6494061,"overpopulation"
"9",1,"0.1","0.1","10","25","25","0.5","0.1",8529,3156350,"overpopulation"
"10",1,"0.1","0.1","10","25","25","0.75","0.1",7812,5004772,"overpopulation"
"11",1,"0.1","0.1","10","25","25","1","0.1",7659,5762234,"overpopulation"
"12",1,"0.1","0.1","10","25","50","0.1","0.1",43802,1039,"dieoff"
"13",1,"0.1","0.1","10","25","75","0.1","0.1",43800,1073,"dieoff"
"14",1,"0.1","0.1","10","50","25","0.1","0.1",41543,148,"dieoff"
"15",1,"0.1","0.1","10","75","25","0.1","0.1",41543,148,"dieoff"
"16",1,"0.1","0.1","20","25","25","0.1","0.1",61319,1033,"dieoff"
"17",1,"0.1","0.1","30","25","25","0.1","0.1",59063,23,"dieoff"
"18",1,"0.1","0.1","40","25","25","0.1","0.1",61320,2091,"dieoff"
"19",1,"0.1","0.1","50","25","25","0.1","0.1",76583,20,"dieoff"
"20",1,"0.1","0.2","10","25","25","0.1","0.1",41543,87,"dieoff"
"21",1,"0.1","0.3","10","25","25","0.1","0.1",59063,94,"dieoff"
"22",1,"0.1","0.4","10","25","25","0.1","0.1",61319,1009,"dieoff"
"23",1,"0.1","0.5","10","25","25","0.1","0.1",43800,1017,"dieoff"
"24",1,"0.2","0.1","10","25","25","0.1","0.1",61319,4118,"dieoff"
"25",1,"0.3","0.1","10","25","25","0.1","0.1",87600,4787,"finished"
"26",1,"0.4","0.1","10","25","25","0.1","0.1",60350,10171384,"overpopulation"
"27",1,"0.5","0.1","10","25","25","0.1","0.1",42587,15994484,"overpopulation"
"28",2,"0.1","0.1","10","100","25","0.1","0.1",41543,31,"dieoff"
"29",2,"0.1","0.1","10","25","100","0.1","0.1",41543,50,"dieoff"
"30",2,"0.1","0.1","10","25","25","0.1","0.1",41543,31,"dieoff"
"31",2,"0.1","0.1","10","25","25","0.1","0.25",41543,13,"dieoff"
"32",2,"0.1","0.1","10","25","25","0.1","0.5",41543,40,"dieoff"
"33",2,"0.1","0.1","10","25","25","0.1","0.75",32783,39,"dieoff"
"34",2,"0.1","0.1","10","25","25","0.1","1",41543,20,"dieoff"
"35",2,"0.1","0.1","10","25","25","0.25","0.1",87600,70745,"finished"
"36",2,"0.1","0.1","10","25","25","0.5","0.1",25502,5323884,"overpopulation"
"37",2,"0.1","0.1","10","25","25","0.75","0.1",24987,12145004,"overpopulation"
"38",2,"0.1","0.1","10","25","25","1","0.1",24875,22547853,"overpopulation"
"39",2,"0.1","0.1","10","25","50","0.1","0.1",41543,27,"dieoff"
"40",2,"0.1","0.1","10","25","75","0.1","0.1",26282,996,"dieoff"
"41",2,"0.1","0.1","10","50","25","0.1","0.1",41543,31,"dieoff"
"42",2,"0.1","0.1","10","75","25","0.1","0.1",41543,31,"dieoff"
"43",2,"0.1","0.1","20","25","25","0.1","0.1",26281,999,"dieoff"
"44",2,"0.1","0.1","30","25","25","0.1","0.1",43799,3103,"dieoff"
"45",2,"0.1","0.1","40","25","25","0.1","0.1",43799,3063,"dieoff"
"46",2,"0.1","0.1","50","25","25","0.1","0.1",43800,1030,"dieoff"
"47",2,"0.1","0.2","10","25","25","0.1","0.1",41543,39,"dieoff"
"48",2,"0.1","0.3","10","25","25","0.1","0.1",43801,2057,"dieoff"
"49",2,"0.1","0.4","10","25","25","0.1","0.1",24023,325,"dieoff"
"50",2,"0.1","0.5","10","25","25","0.1","0.1",41543,65,"dieoff"
"51",2,"0.2","0.1","10","25","25","0.1","0.1",41543,63,"dieoff"
"52",2,"0.3","0.1","10","25","25","0.1","0.1",78839,1010,"dieoff"
"53",2,"0.4","0.1","10","25","25","0.1","0.1",87600,320,"finished"
"54",2,"0.5","0.1","10","25","25","0.1","0.1",87600,6541,"finished"
"55",3,"0.1","0.1","10","100","25","0.1","0.1",61319,967,"dieoff"
"56",3,"0.1","0.1","10","25","100","0.1","0.1",61319,3079,"dieoff"
"57",3,"0.1","0.1","10","25","25","0.1","0.1",61319,967,"dieoff"
"58",3,"0.1","0.1","10","25","25","0.1","0.25",43801,1058,"dieoff"
"59",3,"0.1","0.1","10","25","25","0.1","0.5",43801,1032,"dieoff"
"60",3,"0.1","0.1","10","25","25","0.1","0.75",61319,996,"dieoff"
"61",3,"0.1","0.1","10","25","25","0.1","1",78839,1042,"dieoff"
"62",3,"0.1","0.1","10","25","25","0.25","0.1",7544,20942110,"overpopulation"
"63",3,"0.1","0.1","10","25","25","0.5","0.1",7395,40236501,"overpopulation"
"64",3,"0.1","0.1","10","25","25","0.75","0.1",7371,53546059,"overpopulation"
"65",3,"0.1","0.1","10","25","25","1","0.1",7351,64099325,"overpopulation"
"66",3,"0.1","0.1","10","25","50","0.1","0.1",43800,3059,"dieoff"
"67",3,"0.1","0.1","10","25","75","0.1","0.1",43799,11410,"dieoff"
"68",3,"0.1","0.1","10","50","25","0.1","0.1",61319,967,"dieoff"
"69",3,"0.1","0.1","10","75","25","0.1","0.1",61319,967,"dieoff"
"70",3,"0.1","0.1","20","25","25","0.1","0.1",6503,19384175,"overpopulation"
"71",3,"0.1","0.1","30","25","25","0.1","0.1",0,1e+06,"dieoff"
"72",3,"0.1","0.1","40","25","25","0.1","0.1",0,1e+06,"dieoff"
"73",3,"0.1","0.1","50","25","25","0.1","0.1",0,1e+06,"dieoff"
"74",3,"0.1","0.2","10","25","25","0.1","0.1",59063,35,"dieoff"
"75",3,"0.1","0.3","10","25","25","0.1","0.1",43801,1037,"dieoff"
"76",3,"0.1","0.4","10","25","25","0.1","0.1",59063,41,"dieoff"
"77",3,"0.1","0.5","10","25","25","0.1","0.1",59063,45,"dieoff"
"78",3,"0.2","0.1","10","25","25","0.1","0.1",7957,10548651,"overpopulation"
"79",3,"0.3","0.1","10","25","25","0.1","0.1",7599,14568335,"overpopulation"
"80",3,"0.4","0.1","10","25","25","0.1","0.1",7501,17757014,"overpopulation"
"81",3,"0.5","0.1","10","25","25","0.1","0.1",7472,19980561,"overpopulation"
"82",4,"0.1","0.1","10","100","25","0.1","0.1",78841,1022,"dieoff"
"83",4,"0.1","0.1","10","25","100","0.1","0.1",43799,4139,"dieoff"
"84",4,"0.1","0.1","10","25","25","0.1","0.1",78841,1022,"dieoff"
"85",4,"0.1","0.1","10","25","25","0.1","0.25",41543,197,"dieoff"
"86",4,"0.1","0.1","10","25","25","0.1","0.5",41543,63,"dieoff"
"87",4,"0.1","0.1","10","25","25","0.1","0.75",43799,3102,"dieoff"
"88",4,"0.1","0.1","10","25","25","0.1","1",42688,1276,"dieoff"
"89",4,"0.1","0.1","10","25","25","0.25","0.1",43762,4595032,"overpopulation"
"90",4,"0.1","0.1","10","25","25","0.5","0.1",24971,18622927,"overpopulation"
"91",4,"0.1","0.1","10","25","25","0.75","0.1",8203,3079448,"overpopulation"
"92",4,"0.1","0.1","10","25","25","1","0.1",7755,3970449,"overpopulation"
"93",4,"0.1","0.1","10","25","50","0.1","0.1",43800,1053,"dieoff"
"94",4,"0.1","0.1","10","25","75","0.1","0.1",43799,4139,"dieoff"
"95",4,"0.1","0.1","10","50","25","0.1","0.1",78841,1022,"dieoff"
"96",4,"0.1","0.1","10","75","25","0.1","0.1",78841,1022,"dieoff"
"97",4,"0.1","0.1","20","25","25","0.1","0.1",50303,61,"dieoff"
"98",4,"0.1","0.1","30","25","25","0.1","0.1",43800,1033,"dieoff"
"99",4,"0.1","0.1","40","25","25","0.1","0.1",59063,59,"dieoff"
"100",4,"0.1","0.1","50","25","25","0.1","0.1",78839,1032,"dieoff"
"101",4,"0.1","0.2","10","25","25","0.1","0.1",50303,7,"dieoff"
"102",4,"0.1","0.3","10","25","25","0.1","0.1",41543,18,"dieoff"
"103",4,"0.1","0.4","10","25","25","0.1","0.1",61319,3125,"dieoff"
"104",4,"0.1","0.5","10","25","25","0.1","0.1",59063,14,"dieoff"
"105",4,"0.2","0.1","10","25","25","0.1","0.1",87600,397,"finished"
"106",4,"0.3","0.1","10","25","25","0.1","0.1",87600,81936,"finished"
"107",4,"0.4","0.1","10","25","25","0.1","0.1",42973,7212985,"overpopulation"
"108",4,"0.5","0.1","10","25","25","0.1","0.1",42537,18101785,"overpopulation"
"109",5,"0.1","0.1","10","100","25","0.1","0.1",41543,37,"dieoff"
"110",5,"0.1","0.1","10","25","100","0.1","0.1",41543,31,"dieoff"
"111",5,"0.1","0.1","10","25","25","0.1","0.1",41543,37,"dieoff"
"112",5,"0.1","0.1","10","25","25","0.1","0.25",43799,1020,"dieoff"
"113",5,"0.1","0.1","10","25","25","0.1","0.5",43800,1010,"dieoff"
"114",5,"0.1","0.1","10","25","25","0.1","0.75",43799,3056,"dieoff"
"115",5,"0.1","0.1","10","25","25","0.1","1",43799,1031,"dieoff"
"116",5,"0.1","0.1","10","25","25","0.25","0.1",87600,48622,"finished"
"117",5,"0.1","0.1","10","25","25","0.5","0.1",8651,3457159,"overpopulation"
"118",5,"0.1","0.1","10","25","25","0.75","0.1",7837,4976544,"overpopulation"
"119",5,"0.1","0.1","10","25","25","1","0.1",7614,6144110,"overpopulation"
"120",5,"0.1","0.1","10","25","50","0.1","0.1",43799,1048,"dieoff"
"121",5,"0.1","0.1","10","25","75","0.1","0.1",41543,31,"dieoff"
"122",5,"0.1","0.1","10","50","25","0.1","0.1",41543,37,"dieoff"
"123",5,"0.1","0.1","10","75","25","0.1","0.1",41543,37,"dieoff"
"124",5,"0.1","0.1","20","25","25","0.1","0.1",50303,23,"dieoff"
"125",5,"0.1","0.1","30","25","25","0.1","0.1",59063,10,"dieoff"
"126",5,"0.1","0.1","40","25","25","0.1","0.1",61319,999,"dieoff"
"127",5,"0.1","0.1","50","25","25","0.1","0.1",61319,2084,"dieoff"
"128",5,"0.1","0.2","10","25","25","0.1","0.1",43800,1085,"dieoff"
"129",5,"0.1","0.3","10","25","25","0.1","0.1",41543,101,"dieoff"
"130",5,"0.1","0.4","10","25","25","0.1","0.1",41543,26,"dieoff"
"131",5,"0.1","0.5","10","25","25","0.1","0.1",43800,1040,"dieoff"
"132",5,"0.2","0.1","10","25","25","0.1","0.1",78839,1025,"dieoff"
"133",5,"0.3","0.1","10","25","25","0.1","0.1",87600,90,"finished"
"134",5,"0.4","0.1","10","25","25","0.1","0.1",87600,18068,"finished"
"135",5,"0.5","0.1","10","25","25","0.1","0.1",43430,5237378,"overpopulation"
"136",6,"0.1","0.1","10","100","25","0.1","0.1",41543,52,"dieoff"
"137",6,"0.1","0.1","10","25","100","0.1","0.1",41543,34,"dieoff"
"138",6,"0.1","0.1","10","25","25","0.1","0.1",41543,52,"dieoff"
"139",6,"0.1","0.1","10","25","25","0.1","0.25",41543,8,"dieoff"
"140",6,"0.1","0.1","10","25","25","0.1","0.5",43799,1014,"dieoff"
"141",6,"0.1","0.1","10","25","25","0.1","0.75",43800,1047,"dieoff"
"142",6,"0.1","0.1","10","25","25","0.1","1",43799,1010,"dieoff"
"143",6,"0.1","0.1","10","25","25","0.25","0.1",87600,78876,"finished"
"144",6,"0.1","0.1","10","25","25","0.5","0.1",25141,8738281,"overpopulation"
"145",6,"0.1","0.1","10","25","25","0.75","0.1",24902,19895402,"overpopulation"
"146",6,"0.1","0.1","10","25","25","1","0.1",24873,36422998,"overpopulation"
"147",6,"0.1","0.1","10","25","50","0.1","0.1",43799,5157,"dieoff"
"148",6,"0.1","0.1","10","25","75","0.1","0.1",41543,37,"dieoff"
"149",6,"0.1","0.1","10","50","25","0.1","0.1",41543,52,"dieoff"
"150",6,"0.1","0.1","10","75","25","0.1","0.1",41543,52,"dieoff"
"151",6,"0.1","0.1","20","25","25","0.1","0.1",43800,2049,"dieoff"
"152",6,"0.1","0.1","30","25","25","0.1","0.1",59063,81,"dieoff"
"153",6,"0.1","0.1","40","25","25","0.1","0.1",61319,1000,"dieoff"
"154",6,"0.1","0.1","50","25","25","0.1","0.1",43801,1020,"dieoff"
"155",6,"0.1","0.2","10","25","25","0.1","0.1",41543,5,"dieoff"
"156",6,"0.1","0.3","10","25","25","0.1","0.1",59063,1,"dieoff"
"157",6,"0.1","0.4","10","25","25","0.1","0.1",41543,7,"dieoff"
"158",6,"0.1","0.5","10","25","25","0.1","0.1",41543,34,"dieoff"
"159",6,"0.2","0.1","10","25","25","0.1","0.1",76583,41,"dieoff"
"160",6,"0.3","0.1","10","25","25","0.1","0.1",87600,1308,"finished"
"161",6,"0.4","0.1","10","25","25","0.1","0.1",87600,132719,"finished"
"162",6,"0.5","0.1","10","25","25","0.1","0.1",60130,16089434,"overpopulation"
"163",7,"0.1","0.1","10","100","25","0.1","0.1",50303,23,"dieoff"
"164",7,"0.1","0.1","10","25","100","0.1","0.1",43799,3055,"dieoff"
"165",7,"0.1","0.1","10","25","25","0.1","0.1",61319,1042,"dieoff"
"166",7,"0.1","0.1","10","25","25","0.1","0.25",52559,589,"dieoff"
"167",7,"0.1","0.1","10","25","25","0.1","0.5",61319,1054,"dieoff"
"168",7,"0.1","0.1","10","25","25","0.1","0.75",43799,1034,"dieoff"
"169",7,"0.1","0.1","10","25","25","0.1","1",43801,1052,"dieoff"
"170",7,"0.1","0.1","10","25","25","0.25","0.1",60300,11117333,"overpopulation"
"171",7,"0.1","0.1","10","25","25","0.5","0.1",24975,21489042,"overpopulation"
"172",7,"0.1","0.1","10","25","25","0.75","0.1",8384,3026900,"overpopulation"
"173",7,"0.1","0.1","10","25","25","1","0.1",7813,4301660,"overpopulation"
"174",7,"0.1","0.1","10","25","50","0.1","0.1",41543,6,"dieoff"
"175",7,"0.1","0.1","10","25","75","0.1","0.1",43799,1982,"dieoff"
"176",7,"0.1","0.1","10","50","25","0.1","0.1",41543,51,"dieoff"
"177",7,"0.1","0.1","10","75","25","0.1","0.1",50303,23,"dieoff"
"178",7,"0.1","0.1","20","25","25","0.1","0.1",43799,1053,"dieoff"
"179",7,"0.1","0.1","30","25","25","0.1","0.1",59063,74,"dieoff"
"180",7,"0.1","0.1","40","25","25","0.1","0.1",50303,46,"dieoff"
"181",7,"0.1","0.1","50","25","25","0.1","0.1",76583,60,"dieoff"
"182",7,"0.1","0.2","10","25","25","0.1","0.1",41543,27,"dieoff"
"183",7,"0.1","0.3","10","25","25","0.1","0.1",43799,3006,"dieoff"
"184",7,"0.1","0.4","10","25","25","0.1","0.1",43799,4036,"dieoff"
"185",7,"0.1","0.5","10","25","25","0.1","0.1",26280,3057,"dieoff"
"186",7,"0.2","0.1","10","25","25","0.1","0.1",78839,5154,"dieoff"
"187",7,"0.3","0.1","10","25","25","0.1","0.1",87600,173946,"finished"
"188",7,"0.4","0.1","10","25","25","0.1","0.1",42806,8339407,"overpopulation"
"189",7,"0.5","0.1","10","25","25","0.1","0.1",42447,28945425,"overpopulation"
"190",8,"0.1","0.1","10","100","25","0.1","0.1",52559,1044,"dieoff"
"191",8,"0.1","0.1","10","25","100","0.1","0.1",41543,96,"dieoff"
"192",8,"0.1","0.1","10","25","25","0.1","0.1",52559,1044,"dieoff"
"193",8,"0.1","0.1","10","25","25","0.1","0.25",76583,50,"dieoff"
"194",8,"0.1","0.1","10","25","25","0.1","0.5",43799,1023,"dieoff"
"195",8,"0.1","0.1","10","25","25","0.1","0.75",43799,2054,"dieoff"
"196",8,"0.1","0.1","10","25","25","0.1","1",43800,1027,"dieoff"
"197",8,"0.1","0.1","10","25","25","0.25","0.1",60652,6975944,"overpopulation"
"198",8,"0.1","0.1","10","25","25","0.5","0.1",25059,12019637,"overpopulation"
"199",8,"0.1","0.1","10","25","25","0.75","0.1",24894,28018081,"overpopulation"
"200",8,"0.1","0.1","10","25","25","1","0.1",8313,2029643,"overpopulation"
"201",8,"0.1","0.1","10","25","50","0.1","0.1",41543,44,"dieoff"
"202",8,"0.1","0.1","10","25","75","0.1","0.1",41543,96,"dieoff"
"203",8,"0.1","0.1","10","50","25","0.1","0.1",52559,1044,"dieoff"
"204",8,"0.1","0.1","10","75","25","0.1","0.1",52559,1044,"dieoff"
"205",8,"0.1","0.1","20","25","25","0.1","0.1",43800,5177,"dieoff"
"206",8,"0.1","0.1","30","25","25","0.1","0.1",61319,4127,"dieoff"
"207",8,"0.1","0.1","40","25","25","0.1","0.1",59063,7,"dieoff"
"208",8,"0.1","0.1","50","25","25","0.1","0.1",70079,2638,"dieoff"
"209",8,"0.1","0.2","10","25","25","0.1","0.1",41543,24,"dieoff"
"210",8,"0.1","0.3","10","25","25","0.1","0.1",43799,1018,"dieoff"
"211",8,"0.1","0.4","10","25","25","0.1","0.1",41543,89,"dieoff"
"212",8,"0.1","0.5","10","25","25","0.1","0.1",41543,18,"dieoff"
"213",8,"0.2","0.1","10","25","25","0.1","0.1",87600,226,"finished"
"214",8,"0.3","0.1","10","25","25","0.1","0.1",87600,90985,"finished"
"215",8,"0.4","0.1","10","25","25","0.1","0.1",43638,4084896,"overpopulation"
"216",8,"0.5","0.1","10","25","25","0.1","0.1",42537,17782096,"overpopulation"
